SD_Picker,SD_Lines,Date
101,70,3/16/2006
,,3/17/2006
e,55,3/17/2006
209,250,3/17/2006
278,250,3/17/2006
230,250,3/17/2006
8000,48,3/17/2006
209,230,3/17/2006
278,230,3/17/2006
230,230,3/17/2006
79,100,3/17/2006
8000,250,3/17/2006
101,46,3/17/2006
446,53,3/17/2006
BO,32,3/17/2006
e,61,3/20/2006
209,300,3/20/2006
278,300,3/20/2006
230,300,3/20/2006
446,33,3/20/2006
8000,68,3/20/2006
209,225,3/20/2006
278,225,3/20/2006
230,225,3/20/2006
79,125,3/20/2006
8000,204,3/20/2006
101,200,3/20/2006
e,108,3/21/2006
en,2,3/21/2006
209,325,3/21/2006
278,325,3/21/2006
230,325,3/21/2006
438,250,3/21/2006
101,28,3/21/2006
209,230,3/21/2006
278,230,3/21/2006
230,230,3/21/2006
79,93,3/21/2006
446,100,3/21/2006
438,230,3/21/2006
101,191,3/21/2006
e,38,3/22/2006
en,4,3/22/2006
278,235,3/22/2006
248,235,3/22/2006
230,210,3/22/2006
278,280,3/22/2006
248,280,3/22/2006
230,280,3/22/2006
79,93,3/22/2006
446,7,3/22/2006
438,217,3/22/2006
e,146,3/23/2006
en,1,3/23/2006
209,238,3/23/2006
278,238,3/23/2006
248,238,3/23/2006
230,98,3/23/2006
209,239,3/23/2006
278,248,3/23/2006
248,271,3/23/2006
230,271,3/23/2006
79,58,3/23/2006
446,50,3/23/2006
438,212,3/23/2006
e,41,3/24/2006
278,275,3/24/2006
248,275,3/24/2006
230,150,3/24/2006
446,75,3/24/2006
278,282,3/24/2006
248,282,3/24/2006
230,282,3/24/2006
438,200,3/24/2006
79,30,3/24/2006
E,127,3/27/2006
278,335,3/27/2006
101,285,3/27/2006
230,335,3/27/2006
79,31,3/27/2006
237,300,3/27/2006
264,224,3/27/2006
278,200,3/27/2006
230,200,3/27/2006
438,166,3/27/2006
446,100,3/27/2006
148,100,3/27/2006
E,94,3/28/2006
248,275,3/28/2006
248,286,3/28/2006
278,275,3/28/2006
278,286,3/28/2006
230,275,3/28/2006
230,286,3/28/2006
438,84,3/28/2006
438,225,3/28/2006
79,105,3/28/2006
446,31,3/28/2006
145,195,3/28/2006
237,258,3/28/2006
,,3/28/2006
e,39,3/29/2006
EN,2,3/29/2006
248,237,3/29/2006
278,237,3/29/2006
230,237,3/29/2006
438,34,3/29/2006
248,288,3/29/2006
278,288,3/29/2006
230,288,3/29/2006
438,213,3/29/2006
79,38,3/29/2006
446,29,3/29/2006
E,27,3/30/2006
BO,33,3/30/2006
278,285,3/30/2006
101,285,3/30/2006
230,157,3/30/2006
438,285,3/30/2006
278,305,3/30/2006
101,305,3/30/2006
438,215,3/30/2006
79,96,3/30/2006
446,25,3/30/2006
237,50,3/30/2006
148,150,3/30/2006
E,231,3/31/2006
248,260,3/31/2006
278,275,3/31/2006
230,275,3/31/2006
438,199,3/31/2006
79,34,3/31/2006
446,22,3/31/2006
278,265,3/31/2006
248,265,3/31/2006
230,265,3/31/2006
e,72,4/3/2006
248,350,4/3/2006
278,350,4/3/2006
230,350,4/3/2006
438,127,4/3/2006
248,220,4/3/2006
278,220,4/3/2006
230,220,4/3/2006
438,200,4/3/2006
79,78,4/3/2006
145,191,4/3/2006
446,102,4/3/2006
e,33,4/5/2006
278,210,4/5/2006
278,290,4/5/2006
248,210,4/5/2006
248,290,4/5/2006
230,69,4/5/2006
230,290,4/5/2006
438,249,4/5/2006
79,25,4/5/2006
446,20,4/5/2006
e,89,4/6/2006
278,300,4/6/2006
278,275,4/6/2006
248,300,4/6/2006
248,275,4/6/2006
230,300,4/6/2006
230,275,4/6/2006
145,200,4/6/2006
438,223,4/6/2006
79,31,4/6/2006
446,59,4/6/2006
438,150,4/6/2006
E,155,4/7/2006
278,186,4/7/2006
248,220,4/7/2006
230,220,4/7/2006
438,20,4/7/2006
248,219,4/7/2006
230,219,4/7/2006
145,226,4/7/2006
438,236,4/7/2006
79,100,4/7/2006
446,50,4/7/2006
203,100,4/7/2006
E,110,4/10/2006
EN,2,4/10/2006
278,260,4/10/2006
248,260,4/10/2006
230,260,4/10/2006
438,126,4/10/2006
278,224,4/10/2006
248,224,4/10/2006
230,224,4/10/2006
145,191,4/10/2006
438,241,4/10/2006
79,33,4/10/2006
446,50,4/10/2006
e,40,4/11/2006
en,3,4/11/2006
278,275,4/11/2006
248,275,4/11/2006
230,275,4/11/2006
101,66,4/11/2006
145,75,4/11/2006
438,250,4/11/2006
446,72,4/11/2006
278,275,4/11/2006
248,275,4/11/2006
230,275,4/11/2006
145,226,4/11/2006
438,275,4/11/2006
79,92,4/11/2006
203,100,4/11/2006
e,121,4/12/2006
en,2,4/12/2006
278,207,4/12/2006
248,207,4/12/2006
438,39,4/12/2006
278,293,4/12/2006
248,293,4/12/2006
145,249,4/12/2006
438,325,4/12/2006
446,49,4/12/2006
e,122,4/13/2006
278,285,4/13/2006
248,285,4/13/2006
230,285,4/13/2006
145,191,4/13/2006
438,54,4/13/2006
79,14,4/13/2006
446,65,4/13/2006
438,225,4/13/2006
278,229,4/13/2006
248,229,4/13/2006
230,229,4/13/2006
e,47,4/14/2006
278,305,4/14/2006
278,245,4/14/2006
248,305,4/14/2006
248,245,4/14/2006
101,225,4/14/2006
145,72,4/14/2006
145,250,4/14/2006
438,275,4/14/2006
79,117,4/14/2006
446,63,4/14/2006
237,75,4/14/2006
,0,4/14/2006
e,4,4/17/2006
EN,4,4/17/2006
278,242,4/17/2006
248,242,4/17/2006
230,242,4/17/2006
278,255,4/17/2006
248,255,4/17/2006
230,255,4/17/2006
203,100,4/17/2006
79,18,4/17/2006
278,70,4/17/2006
230,70,4/17/2006
248,70,4/17/2006
E,44,4/18/2006
EN,3,4/18/2006
278,250,4/18/2006
248,250,4/18/2006
230,250,4/18/2006
438,71,4/18/2006
278,260,4/18/2006
248,260,4/18/2006
230,260,4/18/2006
438,254,4/18/2006
79,146,4/18/2006
446,55,4/18/2006
9000,100,4/18/2006
203,100,4/18/2006
E,74,4/19/2006
278,250,4/19/2006
278,300,4/19/2006
248,250,4/19/2006
248,300,4/19/2006
230,50,4/19/2006
230,250,4/19/2006
438,275,4/19/2006
79,257,4/19/2006
446,54,4/19/2006
E,20,4/20/2006
EN,5,4/20/2006
278,250,4/20/2006
278,225,4/20/2006
248,250,4/20/2006
248,225,4/20/2006
230,311,4/20/2006
203,98,4/20/2006
438,150,4/20/2006
E,269,2/22/2006
209,182,2/22/2006
248,182,2/22/2006
278,182,2/22/2006
230,179,2/22/2006
8000,149,2/22/2006
8001,52,2/22/2006
209,241,2/22/2006
248,247,2/22/2006
278,244,2/22/2006
230,236,2/22/2006
446,17,2/22/2006
e,76,2/23/2006
209,277,2/23/2006
248,277,2/23/2006
278,176,2/23/2006
230,277,2/23/2006
101,83,2/23/2006
79,10,2/23/2006
446,58,2/23/2006
8000,150,2/23/2006
8001,71,2/23/2006
209,248,2/23/2006
248,248,2/23/2006
278,248,2/23/2006
230,248,2/23/2006
E,49,2/24/2006
248,250,2/24/2006
278,250,2/24/2006
209,250,2/24/2006
79,5,2/24/2006
446,34,2/24/2006
8000,131,2/24/2006
8001,75,2/24/2006
209,305,2/24/2006
248,305,2/24/2006
278,305,2/24/2006
e,130,2/27/2006
209,260,2/27/2006
248,260,2/27/2006
278,260,2/27/2006
230,202,2/27/2006
209,235,2/27/2006
248,235,2/27/2006
278,235,2/27/2006
230,235,2/27/2006
79,65,2/27/2006
446,54,2/27/2006
8000,150,2/27/2006
8001,97,2/27/2006
e,172,2/28/2006
209,270,2/28/2006
248,270,2/28/2006
278,270,2/28/2006
230,270,2/28/2006
8000,186,2/28/2006
446,16,2/28/2006
209,270,2/28/2006
248,270,2/28/2006
278,270,2/28/2006
230,270,2/28/2006
79,130,2/28/2006
8000,197,2/28/2006
8001,76,2/28/2006
e,50,3/1/2006
en,1,3/1/2006
230,225,3/1/2006
278,225,3/1/2006
248,225,3/1/2006
79,90,3/1/2006
248,290,3/1/2006
278,290,3/1/2006
230,290,3/1/2006
446,74,3/1/2006
8000,192,3/1/2006
8001,75,3/1/2006
e,45,3/2/2006
en,1,3/2/2006
248,300,3/2/2006
278,300,3/2/2006
209,95,3/2/2006
230,300,3/2/2006
209,240,3/2/2006
248,240,3/2/2006
278,240,3/2/2006
230,240,3/2/2006
79,44,3/2/2006
8000,166,3/2/2006
446,50,3/2/2006
8001,80,3/2/2006
e,83,3/3/2006
en,2,3/3/2006
209,260,3/3/2006
248,260,3/3/2006
278,260,3/3/2006
79,13,3/3/2006
446,50,3/3/2006
8000,150,3/3/2006
8001,100,3/3/2006
209,227,3/3/2006
248,227,3/3/2006
278,227,3/3/2006
E,103,3/6/2006
EN,2,3/6/2006
209,209,3/6/2006
248,300,3/6/2006
278,300,3/6/2006
230,300,3/6/2006
176,12,3/6/2006
248,265,3/6/2006
278,265,3/6/2006
230,265,3/6/2006
446,58,3/6/2006
8000,172,3/6/2006
8001,100,3/6/2006
e,43,3/7/2006
,,3/7/2006
209,258,3/7/2006
248,258,3/7/2006
278,258,3/7/2006
230,258,3/7/2006
8000,38,3/7/2006
209,267,3/7/2006
248,267,3/7/2006
278,267,3/7/2006
230,267,3/7/2006
79,35,3/7/2006
446,50,3/7/2006
8000,200,3/7/2006
E,44,3/8/2006
209,240,3/8/2006
248,240,3/8/2006
278,240,3/8/2006
230,66,3/8/2006
209,275,3/8/2006
248,275,3/8/2006
278,275,3/8/2006
230,275,3/8/2006
79,40,3/8/2006
8000,201,3/8/2006
446,46,3/8/2006
E,51,3/9/2006
209,90,3/9/2006
248,300,3/9/2006
278,300,3/9/2006
230,300,3/9/2006
en,2,3/13/2006
e,64,3/13/2006
209,245,3/13/2006
278,245,3/13/2006
248,245,3/13/2006
230,238,3/13/2006
446,14,3/13/2006
209,252,3/13/2006
