VOR_Picker,VOR_Lines,Date
437,50,3/16/2006
116,3,3/16/2006
116,11,3/16/2006
51,1,3/16/2006
455,20,3/16/2006
116,12,3/16/2006
165,3,3/16/2006
515,50,3/16/2006
498,24,3/16/2006
262,1,3/16/2006
468,50,3/16/2006
269,28,3/16/2006
282,73,3/16/2006
51,1,3/16/2006
437,35,3/16/2006
262,1,3/16/2006
116,6,3/17/2006
116,2,3/17/2006
498,20,3/17/2006
269,25,3/17/2006
464,21,3/17/2006
437,25,3/17/2006
468,26,3/17/2006
455,24,3/17/2006
268,10,3/17/2006
269,38,3/17/2006
116,18,3/17/2006
468,23,3/17/2006
116,12,3/17/2006
51,3,3/17/2006
51,2,3/17/2006
464,36,3/17/2006
458,11,3/17/2006
262,12,3/17/2006
446,35,3/17/2006
468,32,3/17/2006
455,21,3/17/2006
515,26,3/17/2006
437,38,3/17/2006
282,58,3/17/2006
269,27,3/17/2006
458,19,3/17/2006
469,48,3/17/2006
116,11,3/17/2006
515,11,3/17/2006
468,3,3/17/2006
464,54,3/17/2006
51,1,3/17/2006
458,40,3/17/2006
269,27,3/17/2006
437,45,3/17/2006
469,50,3/17/2006
282,51,3/17/2006
116,133,3/17/2006
464,60,3/17/2006
268,35,3/17/2006
458,13,3/17/2006
51,1,3/17/2006
458,11,3/17/2006
498,24,3/17/2006
498,29,3/17/2006
515,26,3/17/2006
269,18,3/17/2006
515,7,3/17/2006
498,43,3/17/2006
116,10,3/17/2006
515,22,3/17/2006
468,26,3/17/2006
51,6,3/17/2006
,37,3/17/2006
51,2,3/17/2006
437,37,3/17/2006
469,62,3/17/2006
282,61,3/17/2006
116,2,3/17/2006
116,16,3/17/2006
515,6,3/17/2006
262,2,3/17/2006
498,24,3/20/2006
468,22,3/20/2006
269,27,3/20/2006
469,21,3/20/2006
455,25,3/20/2006
165,3,3/20/2006
465,6,3/20/2006
268,6,3/20/2006
458,31,3/20/2006
116,1,3/20/2006
269,34,3/20/2006
469,55,3/20/2006
464,21,3/20/2006
262,1,3/20/2006
468,13,3/20/2006
458,12,3/20/2006
515,13,3/20/2006
498,12,3/20/2006
269,16,3/20/2006
116,2,3/20/2006
116,21,3/20/2006
468,25,3/20/2006
515,24,3/20/2006
458,27,3/20/2006
116,2,3/20/2006
116,1,3/20/2006
269,27,3/20/2006
282,53,3/20/2006
468,25,3/20/2006
464,32,3/20/2006
498,22,3/20/2006
446,24,3/20/2006
269,38,3/20/2006
458,29,3/20/2006
282,51,3/20/2006
116,5,3/20/2006
116,25,3/20/2006
515,54,3/20/2006
498,50,3/20/2006
140,25,3/20/2006
469`,51,3/20/2006
282,54,3/20/2006
223,27,3/20/2006
269,26,3/20/2006
51,3,3/20/2006
140,26,3/20/2006
468,46,3/20/2006
262,18,3/20/2006
223,24,3/20/2006
269,25,3/20/2006
140,26,3/20/2006
26,25,3/20/2006
203,1,3/20/2006
116,20,3/20/2006
116,70,3/20/2006
116,9,3/20/2006
116,1,3/20/2006
165,7,3/20/2006
165,1,3/20/2006
116,2,3/20/2006
116,2,3/20/2006
515,15,3/20/2006
116,3,3/20/2006
116,15,3/20/2006
165,5,3/20/2006
464,1,3/20/2006
262,7,2/24/2006
116,1,2/24/2006
262,7,2/24/2006
449,6,2/24/2006
116,29,2/24/2006
449,6,2/24/2006
116,2,2/24/2006
445,32,2/24/2006
449,24,2/24/2006
8005,19,2/24/2006
498,7,2/24/2006
468,27,2/24/2006
515,27,2/24/2006
498,26,2/24/2006
446,25,2/24/2006
262,19,2/24/2006
116,2,2/24/2006
437,25,2/24/2006
469,41,2/24/2006
498,25,2/24/2006
282,39,2/24/2006
449,26,2/24/2006
140,21,2/24/2006
116,20,2/24/2006
116,5,2/24/2006
458,32,2/24/2006
437,25,2/24/2006
269,22,2/24/2006
262,5,2/24/2006
262,1,2/24/2006
498,30,2/24/2006
437,29,2/24/2006
116,6,2/24/2006
116,2,2/24/2006
8005,20,2/24/2006
469,25,2/24/2006
515,25,2/24/2006
140,25,2/24/2006
116,110,2/27/2006
116,72,2/27/2006
437,23,2/27/2006
498,23,2/27/2006
468,31,2/27/2006
