DealerInvoice,EmployeeNum,Closed,ClosedTime
,E,FALSE,
,A19,FALSE,
,A9,FALSE,
,A10,FALSE,
,A11,FALSE,
,A14,FALSE,
,A13,FALSE,
,A63,FALSE,
,A62,FALSE,
,A61,FALSE,
,A60,FALSE,
,A59,FALSE,
,A58,FALSE,
,A57,FALSE,
,A56,FALSE,
,A33,FALSE,
,A30,FALSE,
,A32,FALSE,
,A66,FALSE,
,A15,FALSE,
,A65,FALSE,
,A64,FALSE,
,A34,FALSE,
,A35,FALSE,
,A37,FALSE,
,A37,FALSE,
,A26,FALSE,
,A16,FALSE,
,I,FALSE,
,Engine/Trans/Secure,FALSE,
,A31,FALSE,
,A67,FALSE,
,A4,FALSE,
,A5,FALSE,
,A6,FALSE,
,A70,FALSE,
,A69,FALSE,
,A68,FALSE,
,B,FALSE,
,A36,FALSE,
,A36,FALSE,
,A73,FALSE,
,A71,FALSE,
,A72,FALSE,
,A74,FALSE,
,A75,FALSE,
,A36,FALSE,
,A77,FALSE,
,A76,FALSE,
,A78,FALSE,
,A80,FALSE,
,A81,FALSE,
,A79,FALSE,
,A37,FALSE,
,A87,FALSE,
,A89,FALSE,
,A86,FALSE,
,A84,FALSE,
,A85,FALSE,
,A88,FALSE,
,Engine/Trans/Secure,FALSE,
,A90,FALSE,
,A91,FALSE,
,A92,FALSE,
,Engine/Trans/Secure,FALSE,
,A93,FALSE,
,A94,FALSE,
,A95,FALSE,
,A96,FALSE,
,A100,FALSE,
,A98,FALSE,
,A99,FALSE,
,A97,FALSE,
,Engine/Trans/Secure,FALSE,
,A101,FALSE,
,A105,FALSE,
,A104,FALSE,
,A103,FALSE,
,A102,FALSE,
,A106,FALSE,
,A109,FALSE,
,A108,FALSE,
,A107,FALSE,
,A110,FALSE,
,A36,FALSE,
,A112,FALSE,
,A111,FALSE,
,A113,FALSE,
,A114,FALSE,
,A115,FALSE,
,A116,FALSE,
,A117,FALSE,
,A118,FALSE,
,A119,FALSE,
,A122,FALSE,
,A120,FALSE,
,A121,FALSE,
,A123,FALSE,
,A124,FALSE,
,4311,FALSE,
,A125,FALSE,
,A126,FALSE,
,A127,FALSE,
,A132,FALSE,
,A131,FALSE,
,A130,FALSE,
,A129,FALSE,
,A128,FALSE,
,A37,FALSE,
,A133,FALSE,
,A134,FALSE,
,A135,FALSE,
,A136,FALSE,
,A137,FALSE,
,A138,FALSE,
8001546257,,FALSE,
,A138,FALSE,
,A139,FALSE,
,A140,FALSE,
,A37,FALSE,
,A141,FALSE,
,A142,FALSE,
,A143,FALSE,
,A37,FALSE,
,A144,FALSE,
,A37,FALSE,
,A145,FALSE,
,Engine/Trans/Secure,FALSE,
,A146,FALSE,
,Engine/Trans/Secure,FALSE,
,A148,FALSE,
,A147,FALSE,
,A149,FALSE,
8001544155,,TRUE,
8001544155,,TRUE,
8001544155,,TRUE,
8001543982,,TRUE,
8001543982,,TRUE,
8001543982,,TRUE,
8001543218,,TRUE,
8001543218,,TRUE,
8001543218,,TRUE,
8001543217,,TRUE,
8001543217,,TRUE,
8001543217,,TRUE,
,A150,FALSE,
,A37,FALSE,
,A152,FALSE,
,A151,FALSE,
,A153,FALSE,
,A154,FALSE,
,A37,FALSE,
,A34,FALSE,
,A38,FALSE,
,A39,FALSE,
,A155,FALSE,
,A43,FALSE,
,A156,FALSE,
,A158,FALSE,
,A44,FALSE,
,A157,FALSE,
,A37,FALSE,
,A45,FALSE,
,A37,FALSE,
,A159,FALSE,
,A160,FALSE,
,A161,FALSE,
,A162,FALSE,
,A37,FALSE,
,A163,FALSE,
,A164,FALSE,
,A46,FALSE,
,A165,FALSE,
,A37,FALSE,
,A166,FALSE,
,A34,FALSE,
,A167,FALSE,
,A168,FALSE,
,A1,FALSE,
,A2,FALSE,
,A3,FALSE,
,E,FALSE,
,A9,FALSE,
,A4,FALSE,
,A10,FALSE,
,A5,FALSE,
,A11,FALSE,
,A6,FALSE,
,A19,FALSE,
,A30,FALSE,
,A32,FALSE,
,A48,FALSE,
,A47,FALSE,
,A15,FALSE,
,A33,FALSE,
,A31,FALSE,
,A51,FALSE,
,A50,FALSE,
,A49,FALSE,
,A20,FALSE,
,A14,FALSE,
